City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Paamiut,GL,61.994,-49.6678,6.69,76,100,11.52,overcast clouds
276,Vila Velha,BR,-20.3297,-40.2925,82.35,82,40,7.0,scattered clouds
277,Avera,US,33.194,-82.5271,50.68,44,100,9.4,overcast clouds
278,Talaya,RU,61.3833,152.75,-35.82,88,9,1.86,clear sky
279,Joshimath,IN,30.5667,79.5667,43.63,70,100,2.84,overcast clouds
280,Beloha,MG,-25.1667,45.05,74.12,94,100,19.26,moderate rain
281,Shakawe,BW,-18.3667,21.85,69.91,75,90,4.59,overcast clouds
282,Pisco,PE,-13.7,-76.2167,72.01,88,20,9.22,mist
283,Meulaboh,ID,4.1363,96.1285,76.14,90,100,6.53,overcast clouds
284,Boysun,UZ,38.2061,67.1986,33.01,95,93,4.59,overcast clouds
285,Marsa Matruh,EG,31.3525,27.2453,59.04,61,2,8.23,clear sky
286,Amapa,BR,1.0,-52.0,73.02,99,100,4.07,overcast clouds
287,Lucapa,AO,-8.4192,20.7447,66.4,94,84,3.06,light rain
288,Bonthe,SL,7.5264,-12.505,80.64,75,36,10.45,scattered clouds
289,Kargopol,RU,61.5071,38.9456,12.51,93,99,8.05,overcast clouds
290,Freeport,US,40.6576,-73.5832,32.99,63,0,5.01,clear sky
291,Haines Junction,CA,60.7522,-137.5108,29.03,92,100,7.07,overcast clouds
292,Korla,CN,41.7597,86.1469,23.95,46,8,5.08,clear sky
293,Leningradskiy,RU,69.3833,178.4167,-22.76,98,28,6.62,scattered clouds
294,Emba,KZ,48.8264,58.1442,17.37,95,100,10.85,overcast clouds
295,Redcliffe,AU,-27.2307,153.0973,66.97,82,0,6.91,clear sky
296,Shieli,KZ,44.1667,66.75,32.16,86,100,18.05,overcast clouds
297,Copacabana,CO,6.3463,-75.5089,80.94,41,40,6.91,scattered clouds
298,Upernavik,GL,72.7868,-56.1549,-12.98,97,100,6.58,overcast clouds
299,Tondano,ID,1.3038,124.9112,68.09,95,100,1.7,overcast clouds
300,Ambulu,ID,-8.345,113.6058,75.69,93,100,3.13,overcast clouds
301,Pevek,RU,69.7008,170.3133,-24.34,99,33,1.05,scattered clouds
302,Madera,US,37.1666,-119.8343,71.15,45,0,4.14,clear sky
303,Tammisaari,FI,59.9736,23.4339,35.29,96,76,8.75,broken clouds
304,Westport,US,41.1415,-73.3579,31.86,59,0,1.99,clear sky
305,Te Anau,NZ,-45.4167,167.7167,41.56,88,15,1.14,few clouds
306,Palmer,US,42.1584,-72.3287,29.28,39,40,3.0,scattered clouds
307,Koslan,RU,63.4564,48.8989,15.4,94,100,8.55,overcast clouds
308,Carnarvon,AU,-24.8667,113.6333,73.58,66,39,23.8,scattered clouds
309,Kindu,CD,-2.95,25.95,75.16,79,100,0.63,overcast clouds
310,Nemuro,JP,43.3236,145.575,24.96,74,97,16.84,overcast clouds
311,Hovd,MN,48.0056,91.6419,-13.88,75,12,3.2,few clouds
312,Xiaoweizhai,CN,26.1903,107.5125,39.07,97,100,3.94,overcast clouds
313,Adrar,MR,20.5022,-10.0711,73.11,8,0,9.17,clear sky
314,Itaituba,BR,-4.2761,-55.9836,89.76,66,20,5.75,few clouds
315,Semnan,IR,35.5729,53.3971,39.43,52,4,3.44,clear sky
316,Port Keats,AU,-14.25,129.55,78.17,86,100,6.67,overcast clouds
317,Nouadhibou,MR,20.931,-17.0347,67.98,88,5,14.97,clear sky
318,Hanstholm,DK,57.1167,8.6167,34.63,68,67,22.32,light snow
319,Mugur-Aksy,RU,50.35,90.5,-8.21,48,0,6.71,clear sky
320,Husavik,IS,66.0449,-17.3389,24.71,77,100,8.23,overcast clouds
321,Mastic Beach,US,40.7668,-72.8521,32.09,67,20,1.01,few clouds
322,Vardo,NO,70.3705,31.1107,26.58,74,75,17.27,broken clouds
323,Taylorville,US,39.5489,-89.2945,37.0,69,0,11.5,clear sky
324,Cayenne,GF,4.9333,-52.3333,82.09,84,75,5.01,light rain
325,Pailon,BO,-17.65,-62.75,91.08,93,100,2.84,overcast clouds
326,North Bend,US,43.4065,-124.2243,59.16,77,0,8.05,clear sky
327,San Anselmo,US,37.9747,-122.5616,63.32,61,0,5.75,clear sky
328,Harper,LR,4.375,-7.7169,80.11,80,100,10.74,overcast clouds
329,Le Pradet,FR,43.1066,6.0172,55.65,44,0,14.97,clear sky
330,Svobodnyy,RU,51.4,128.1333,-12.89,98,100,1.16,overcast clouds
331,La Llave,MX,20.4667,-99.9972,69.91,25,6,4.36,clear sky
332,Tuatapere,NZ,-46.1333,167.6833,43.83,84,5,3.0,clear sky
333,Chokwe,MZ,-24.5333,32.9833,74.88,80,10,10.29,clear sky
334,Kasongo-Lunda,CD,-6.4667,16.8167,70.16,98,100,2.71,moderate rain
