City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Djenne,ML,80.69,clear sky,13.9061,-4.5533,Hôtel Chez Baba
351,Kavaratti,IN,78.3,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
352,Loandjili,CG,78.31,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
354,Totness,SR,81.99,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
361,Kailua,US,78.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
363,Pizarro,CO,81.37,scattered clouds,4.9533,-77.366,Hotel Limonar
369,Makakilo City,US,77.32,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
372,Maracas,BR,75.27,overcast clouds,-13.4411,-40.4308,Pousada Vale Aprazível
378,Pangai,TO,79.16,light rain,-19.8,-174.35,Ha'apai Beach Resort
379,Ewa Beach,US,78.75,light rain,21.3156,-158.0072,Uncle Junior Robert
381,Zirandaro,MX,95.32,broken clouds,18.45,-100.9833,Hotel Pineda
382,Paine,CL,94.5,clear sky,-33.8167,-70.75,Hotel El Almendro
384,Kapoeta,SS,83.7,overcast clouds,4.7717,33.5903,Eastgate Hotel
387,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN
388,Angoche,MZ,77.22,light rain,-16.2325,39.9086,Guest House HESADA
389,Lamu,KE,79.02,overcast clouds,-2.2717,40.902,Lamu House
395,Ilebo,CD,75.56,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
396,Manta,EC,78.66,light rain,-0.95,-80.7333,Balandra Hotel
397,Guasdualito,VE,91.4,few clouds,7.2424,-70.7324,Hotel Cuibas
398,Manggar,ID,78.93,overcast clouds,-2.8833,108.2667,Guest Hotel
402,Mapastepec,MX,92.91,few clouds,15.4333,-92.9,Hotel San Carlos
407,Bubaque,GW,77.77,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
409,Carutapera,BR,80.4,moderate rain,-1.195,-46.02,Lidera
413,Barra Do Corda,BR,84.27,light rain,-5.5,-45.25,Belchior Palace Hotel
418,Xapuri,BR,82.62,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
419,Hambantota,LK,75.22,overcast clouds,6.1241,81.1185,Bungalow 63
420,Neiafu,TO,79.48,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
421,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
422,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
423,Padilla,CO,81.97,broken clouds,3.2204,-76.3139,La Granadina
426,Santa Luzia,BR,77.14,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
427,Oum Hadjer,TD,75.0,clear sky,13.2954,19.6966,
433,Bumba,CD,75.6,few clouds,2.1833,22.4667,Père Carlos
435,Alyangula,AU,79.5,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
436,Poum,NC,80.08,overcast clouds,-20.2333,164.0167,
437,Roebourne,AU,83.64,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
442,Natal,BR,86.65,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
443,Acarau,BR,84.52,overcast clouds,-2.8856,-40.12,castelo pizzaria
446,Waingapu,ID,78.94,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
451,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
456,Pandan,PH,76.6,overcast clouds,14.0453,124.1694,Bonifacio Lodge
460,Kupang,ID,78.84,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
467,Buchanan,LR,80.56,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
468,Bandarbeyla,SO,75.87,overcast clouds,9.4942,50.8122,JABIR HOTEL
471,Lima,PE,75.38,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
473,Cienfuegos,CU,83.21,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
478,Tual,ID,82.83,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
479,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
481,Cockburn Town,TC,75.69,clear sky,21.4612,-71.1419,Osprey Beach Hotel
488,Merauke,ID,80.06,overcast clouds,-8.4667,140.3333,
489,Kinablangan,PH,77.11,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
491,Amahai,ID,77.99,broken clouds,-3.3333,128.9167,HOTEL ISABELA
493,Flic En Flac,MU,79.52,overcast clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
496,Presidencia Roque Saenz Pena,AR,87.03,clear sky,-26.7852,-60.4388,Hotel Gualok
504,Ararangua,BR,87.85,scattered clouds,-28.9347,-49.4858,Hotel Mazzuco
518,Port Augusta,AU,76.23,clear sky,-32.5,137.7667,Majestic Oasis Apartments
520,Jardim,BR,87.55,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
523,Ndioum,SN,88.84,clear sky,16.5129,-14.6471,l'hôtel samassa
536,Bacolod,PH,75.18,overcast clouds,10.6667,122.95,Planta Hotel & Residences
541,Bucerias,MX,76.98,few clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
544,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
549,Chiredzi,ZW,78.55,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
551,Villa Maria,AR,81.1,clear sky,-32.4075,-63.2402,Hotel Milenium
558,Daru,PG,77.92,overcast clouds,-9.0763,143.2092,Daru Lodge
560,Namatanai,PG,79.36,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
564,Port Blair,IN,78.66,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
565,Puerto Ayacucho,VE,94.78,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
567,Wahiawa,US,75.52,light rain,21.5028,-158.0236,Aloha Wahiawa
568,Matara,LK,75.6,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
572,Kandi,BJ,81.48,clear sky,11.1342,2.9386,Baric Motel De Kandi
574,Ugoofaaru,MV,81.19,broken clouds,5.6667,73.0,Ungoofaaru Inn
576,Indramayu,ID,78.4,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
578,Guayaramerin,BO,89.65,light rain,-10.8368,-65.3614,Hostal Funf
580,Acari,PE,82.42,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
586,Soroti,UG,75.83,broken clouds,1.7146,33.6111,Strikers Hotel
591,Guanica,PR,82.44,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
596,Luwuk,ID,76.73,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
597,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
598,Sri Aman,MY,75.25,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
605,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
606,Talara,PE,83.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
613,Vanimo,PG,77.63,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
616,Rio Gallegos,AR,78.85,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
629,Nanakuli,US,78.75,light rain,21.3906,-158.1547,Camp Pālehua
631,Gamba,GA,77.59,broken clouds,-2.65,10.0,
635,Paita,PE,82.96,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
640,Maxixe,MZ,77.2,few clouds,-23.8597,35.3472,Oceano
641,Fare,PF,81.45,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
651,Bambanglipuro,ID,75.99,overcast clouds,-7.95,110.2833,Puri Brata
652,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
